Stock Symbol,Days Ahead,output,timestamp
SPGI,30,Predicted price for SPGI tomorrow: $491.50,2025-09-25 21:34:34.415074
SPGI,30,Predicted price for SPGI tomorrow: $491.50,2025-09-25 21:34:35.945174
